Player,Goals
Cristiano Ronaldo ,766
Pelé ,765
Romário,753
Lionel Messi ,729
Ferenc Puskás,729
Josef Bican,720
Jimmy Jones ,647
Gerd Müller,634
Eusébio,622
Joe Bambrick,616
Glenn Ferguson,562
Fernando Peyroteo,552
Zlatan Ibrahimović ,551
Uwe Seeler,551
Jimmy McGrory,550
Alfredo Di Stéfano,530
György Sárosi,526
Roberto Dinamite,511
Hugo Sánchez,507
Imre Schlosser ,504
Franz Binder,502
Luis Suárez ,497
